hidden_layers,activation_fn,dropout_rate,optimizer_type,learning_rate,batch_size,random_seed,train_loss,train_acc,val_loss,val_acc,dataset_id,epoch,epoch_time
"[424, 453, 346, 400, 181]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.2,<class 'torch.optim.sgd.SGD'>,0.004304808993489983,512,1337,2.302520224707467,0.10214285714285715,2.301804200581142,0.10776785714285714,40996,0,524.4293186664581
"[44, 165]",<class 'torch.nn.modules.activation.ReLU'>,0.5,<class 'torch.optim.adam.Adam'>,0.005761310613550483,256,42,0.8013441457067217,0.7091517857142857,0.4947713439805167,0.8300892857142858,40996,0,524.4293186664581
"[489, 121]",<class 'torch.nn.modules.activation.ReLU'>,0.2,<class 'torch.optim.adam.Adam'>,0.0020721734380247368,256,42,0.5262645568166461,0.8104017857142857,0.38308565054621013,0.8605357142857143,40996,0,524.4293186664581
"[65, 108]",<class 'torch.nn.modules.activation.ReLU'>,0.2,<class 'torch.optim.sgd.SGD'>,0.006787410373985832,128,777,1.7163361014638627,0.45004464285714285,1.0736523570333207,0.6758035714285714,40996,0,524.4293186664581
"[391, 458, 116, 147, 32, 135]",<class 'torch.nn.modules.activation.ReLU'>,0.1,<class 'torch.optim.adam.Adam'>,0.004894712696557377,1024,13,1.0026997818265642,0.5941741071428571,0.533103197983333,0.7909821428571429,40996,0,524.4293186664581
"[228, 388, 60]",<class 'torch.nn.modules.activation.Sigmoid'>,0.2,<class 'torch.optim.adam.Adam'>,0.003400445703401218,512,2024,1.2026464741570608,0.5691741071428571,0.6729745479992458,0.7801785714285714,40996,0,524.4293186664581
"[91, 27, 327, 397, 178]",<class 'torch.nn.modules.activation.Sigmoid'>,0.5,<class 'torch.optim.adam.Adam'>,0.00762552858547646,128,42,1.6754596315111432,0.25109375,1.3606696469443185,0.3842857142857143,40996,0,524.4293186664581
"[245, 480, 347, 262]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.1,<class 'torch.optim.sgd.SGD'>,0.0025931216697373735,1024,2024,2.3024611186981203,0.10515625,2.3005206203460693,0.12767857142857142,40996,0,524.4293186664581
"[419, 268, 487]",<class 'torch.nn.modules.activation.ReLU'>,0.1,<class 'torch.optim.sgd.SGD'>,0.00290008686324803,32,2024,1.7137407242826053,0.5360267857142857,0.934384000301361,0.7144642857142857,40996,0,524.4293186664581
"[440, 82, 85, 179]",<class 'torch.nn.modules.activation.ReLU'>,0.2,<class 'torch.optim.sgd.SGD'>,0.004170750399718086,512,2024,2.3041081401279992,0.10575892857142857,2.301065849576678,0.14133928571428572,40996,0,524.4293186664581
"[97, 372, 414, 93, 395, 17]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.0,<class 'torch.optim.adam.Adam'>,0.004742687824597419,1024,42,1.0283479128565107,0.6056696428571429,0.5291144936425345,0.8038392857142858,40996,0,524.4293186664581
"[232, 246, 199]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.0,<class 'torch.optim.adam.Adam'>,0.006532877884368386,256,2024,0.5394456064701081,0.8039955357142857,0.4067909383773804,0.8508035714285714,40996,0,524.4293186664581
"[400, 250, 429, 309]",<class 'torch.nn.modules.activation.ReLU'>,0.0,<class 'torch.optim.adam.Adam'>,0.0060917598859884375,32,1337,0.7159082351997494,0.7600223214285714,0.534920281640121,0.8267857142857142,40996,0,524.4293186664581
"[153, 393, 221, 342, 382]",<class 'torch.nn.modules.activation.ReLU'>,0.1,<class 'torch.optim.sgd.SGD'>,0.003330217782838554,128,1337,2.3021865940093993,0.11232142857142857,2.3001338727133613,0.11892857142857143,40996,0,524.4293186664581
"[505, 335, 377, 251, 396, 364, 408]",<class 'torch.nn.modules.activation.ReLU'>,0.1,<class 'torch.optim.adam.Adam'>,0.007330305347356279,256,2024,0.941336830002921,0.6415401785714285,0.5880197037969317,0.7917857142857143,40996,0,524.4293186664581
"[448, 102, 504]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.1,<class 'torch.optim.adam.Adam'>,0.001631438412990859,128,777,0.5135853895970753,0.8137276785714286,0.4000549341951098,0.8492857142857143,40996,0,524.4293186664581
"[72, 261, 81]",<class 'torch.nn.modules.activation.ReLU'>,0.1,<class 'torch.optim.sgd.SGD'>,0.004402336577632835,128,1337,2.227248203413827,0.30453125,2.0848425020490375,0.4675,40996,0,524.4293186664581
"[294, 179]",<class 'torch.nn.modules.activation.Sigmoid'>,0.1,<class 'torch.optim.sgd.SGD'>,0.007039983222543016,1024,13,2.312380143574306,0.09723214285714285,2.3016778332846504,0.09357142857142857,40996,0,524.4293186664581
"[392, 480, 129, 393, 233]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.1,<class 'torch.optim.sgd.SGD'>,0.004189929744512407,256,2024,2.3026434407915386,0.10013392857142857,2.3021944481985908,0.09678571428571428,40996,0,524.4293186664581
"[300, 334, 336]",<class 'torch.nn.modules.activation.Sigmoid'>,0.2,<class 'torch.optim.sgd.SGD'>,0.00355825916187844,512,777,2.323165468488421,0.10053571428571428,2.302196572167533,0.1725,40996,0,524.4293186664581
"[35, 281, 295]",<class 'torch.nn.modules.activation.Sigmoid'>,0.5,<class 'torch.optim.sgd.SGD'>,0.005040650490204054,32,777,2.336870746101652,0.10154017857142857,2.3018962955474853,0.10410714285714286,40996,0,524.4293186664581
"[346, 432, 395, 71]",<class 'torch.nn.modules.activation.ReLU'>,0.0,<class 'torch.optim.sgd.SGD'>,0.007561363277414068,32,777,1.593451106761183,0.49513392857142857,0.7291335859469005,0.7408928571428571,40996,0,524.4293186664581
"[337, 335, 76, 270, 316]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.5,<class 'torch.optim.sgd.SGD'>,0.00958293492496929,64,1337,2.300103444712503,0.11102678571428572,2.2916877678462435,0.299375,40996,0,524.4293186664581
"[235, 21, 511, 351, 355]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.2,<class 'torch.optim.sgd.SGD'>,0.004311994534782233,256,777,2.301655138560704,0.10953125,2.29934579713004,0.1444642857142857,40996,0,524.4293186664581
"[500, 255, 84]",<class 'torch.nn.modules.activation.ReLU'>,0.2,<class 'torch.optim.sgd.SGD'>,0.007784179582186521,128,42,2.1246793004444666,0.35354910714285714,1.6665602357046945,0.5670535714285714,40996,0,524.4293186664581
"[419, 75, 204, 17, 409, 29, 424]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.1,<class 'torch.optim.adam.Adam'>,0.0033650255395469694,1024,777,1.11011552299772,0.5477008928571429,0.6333897628102984,0.7598214285714285,40996,0,524.4293186664581
"[59, 263]",<class 'torch.nn.modules.activation.ReLU'>,0.5,<class 'torch.optim.adam.Adam'>,0.004646480824060837,64,1337,0.8090773241434779,0.7174107142857142,0.5329276922770909,0.8098214285714286,40996,0,524.4293186664581
"[486, 201, 177]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.5,<class 'torch.optim.sgd.SGD'>,0.0038213658626942183,128,2024,2.262990483556475,0.17814732142857143,2.1870602784837994,0.5195535714285714,40996,0,524.4293186664581
"[352, 399]",<class 'torch.nn.modules.activation.Sigmoid'>,0.1,<class 'torch.optim.adam.Adam'>,0.004091032141729083,64,13,0.5192912119839873,0.8108705357142857,0.39578955471515653,0.8566964285714286,40996,0,524.4293186664581
"[22, 454, 324, 348, 88, 20, 176]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.5,<class 'torch.optim.adam.Adam'>,0.004187544255403574,64,1337,1.6053121812003,0.34341517857142856,1.2532361793518065,0.44410714285714287,40996,0,524.4293186664581
"[464, 120, 291, 271, 32, 256]",<class 'torch.nn.modules.activation.ReLU'>,0.2,<class 'torch.optim.adam.Adam'>,0.007987697332351005,1024,13,1.1258801286561149,0.5491964285714286,0.6104844260215759,0.7816071428571428,40996,0,524.4293186664581
"[266, 195]",<class 'torch.nn.modules.activation.Sigmoid'>,0.0,<class 'torch.optim.sgd.SGD'>,0.004779221911291785,512,42,2.30858943939209,0.11265625,2.3000122356414794,0.16669642857142858,40996,0,524.4293186664581
"[153, 342, 55]",<class 'torch.nn.modules.activation.ReLU'>,0.1,<class 'torch.optim.adam.Adam'>,0.004481075878279951,256,777,0.5475906816550663,0.8037276785714286,0.4158611571788788,0.8511607142857143,40996,0,524.4293186664581
"[240, 449, 210, 302]",<class 'torch.nn.modules.activation.Sigmoid'>,0.2,<class 'torch.optim.adam.Adam'>,0.004090189827175854,32,777,0.6963831640567099,0.7412946428571429,0.48509460129908155,0.821875,40996,0,524.4293186664581
"[250, 198]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.5,<class 'torch.optim.adam.Adam'>,0.006169893274982588,64,42,0.9475181752869061,0.6974107142857143,0.5738232243061065,0.8005357142857142,40996,0,524.4293186664581
"[163, 336, 45, 277, 186, 21]",<class 'torch.nn.modules.activation.ReLU'>,0.5,<class 'torch.optim.adam.Adam'>,0.001872573946414764,128,777,1.454684226853507,0.42037946428571427,0.9405340412684849,0.6720535714285715,40996,0,524.4293186664581
"[378, 40, 247, 206, 397]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.2,<class 'torch.optim.sgd.SGD'>,0.004503101916355999,128,2024,2.3018405873434884,0.09725446428571428,2.3000579479762484,0.09973214285714285,40996,0,524.4293186664581
"[61, 480, 430]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.1,<class 'torch.optim.sgd.SGD'>,0.005013730594240858,64,42,1.70480290719441,0.4899107142857143,0.9858355855941773,0.6889285714285714,40996,0,524.4293186664581
"[105, 158, 414, 98, 66, 418]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.2,<class 'torch.optim.adam.Adam'>,0.005503794572705439,64,777,0.8257180420415742,0.7120982142857143,0.6162549577440535,0.7941071428571429,40996,0,524.4293186664581
"[364, 233, 360, 281, 200]",<class 'torch.nn.modules.activation.ReLU'>,0.2,<class 'torch.optim.sgd.SGD'>,0.002526337617096531,64,777,2.302472309725625,0.11350446428571428,2.2999947697775704,0.17044642857142858,40996,0,524.4293186664581
"[107, 284]",<class 'torch.nn.modules.activation.Sigmoid'>,0.1,<class 'torch.optim.adam.Adam'>,0.008137629467982965,64,42,0.5661179861426353,0.7922321428571428,0.4227392748423985,0.8491964285714285,40996,0,524.4293186664581
"[333, 159, 274]",<class 'torch.nn.modules.activation.ReLU'>,0.5,<class 'torch.optim.adam.Adam'>,0.00741342091267081,32,42,2.1109879229749953,0.25301339285714286,2.0334578398295813,0.23008928571428572,40996,0,524.4293186664581
"[249, 441, 136, 287]",<class 'torch.nn.modules.activation.Sigmoid'>,0.5,<class 'torch.optim.adam.Adam'>,0.004927107474415597,512,2024,1.2637714685712542,0.49122767857142857,0.7712720588275365,0.6363392857142857,40996,0,524.4293186664581
"[479, 117, 263, 437, 382]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.5,<class 'torch.optim.sgd.SGD'>,0.0035139014570171696,64,777,2.3026308723858424,0.09821428571428571,2.3004006154196603,0.10660714285714286,40996,0,524.4293186664581
"[506, 264, 499, 426]",<class 'torch.nn.modules.activation.Sigmoid'>,0.2,<class 'torch.optim.sgd.SGD'>,0.005916179024780877,256,42,2.315221597126552,0.10071428571428571,2.302702966417585,0.04339285714285714,40996,0,524.4293186664581
"[165, 153, 462]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.1,<class 'torch.optim.adam.Adam'>,0.0038742897601999316,512,42,0.5970278588363103,0.7825446428571429,0.4021241911820003,0.8525,40996,0,524.4293186664581
"[397, 486, 384]",<class 'torch.nn.modules.activation.ReLU'>,0.2,<class 'torch.optim.sgd.SGD'>,0.0013038495767410912,256,13,2.2944068200247627,0.11464285714285714,2.280241023472377,0.15339285714285714,40996,0,524.4293186664581
"[395, 58, 383, 184, 399]",<class 'torch.nn.modules.activation.ReLU'>,0.1,<class 'torch.optim.sgd.SGD'>,0.0071615442266489615,512,2024,2.3023208672659736,0.10089285714285715,2.301265014920916,0.09678571428571428,40996,0,524.4293186664581
"[346, 271, 506, 35]",<class 'torch.nn.modules.activation.ReLU'>,0.1,<class 'torch.optim.sgd.SGD'>,0.007121668459798203,128,2024,2.285741631644113,0.18625,2.2506797068459647,0.31758928571428574,40996,0,524.4293186664581
"[328, 92, 338, 101, 226]",<class 'torch.nn.modules.activation.Sigmoid'>,0.1,<class 'torch.optim.adam.Adam'>,0.005817283605667306,1024,42,1.9665335634776524,0.16828125,1.6712956571578979,0.20633928571428573,40996,0,524.4293186664581
"[339, 212, 256, 215, 89, 404]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.5,<class 'torch.optim.sgd.SGD'>,0.005982252751975623,256,1337,2.303703900745937,0.09997767857142857,2.3027426501682826,0.111875,40996,0,524.4293186664581
"[269, 359]",<class 'torch.nn.modules.activation.ReLU'>,0.5,<class 'torch.optim.adam.Adam'>,0.006796625056639255,128,13,0.8321025757278715,0.7231473214285714,0.551643601485661,0.8079464285714286,40996,0,524.4293186664581
"[111, 26]",<class 'torch.nn.modules.activation.ReLU'>,0.1,<class 'torch.optim.sgd.SGD'>,0.003267492755520568,512,42,2.261286305018834,0.10444196428571428,2.1975112097603935,0.18732142857142858,40996,0,524.4293186664581
"[339, 308, 26, 300]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.0,<class 'torch.optim.adam.Adam'>,0.005659013802359092,32,42,0.6608620328828693,0.7773214285714286,0.7844166314176151,0.7498214285714285,40996,0,524.4293186664581
"[340, 13, 457]",<class 'torch.nn.modules.activation.Sigmoid'>,0.2,<class 'torch.optim.adam.Adam'>,0.00641328080906977,128,13,0.9820069001402174,0.6150446428571429,0.5747173963274275,0.81375,40996,0,524.4293186664581
"[465, 338, 194, 328, 45]",<class 'torch.nn.modules.activation.ReLU'>,0.0,<class 'torch.optim.adam.Adam'>,0.006136921335243826,256,2024,0.6337215038708278,0.7685267857142857,0.41148897511618476,0.8547321428571428,40996,0,524.4293186664581
"[349, 471, 251, 192]",<class 'torch.nn.modules.activation.Sigmoid'>,0.5,<class 'torch.optim.adam.Adam'>,0.0029007413164498985,32,777,0.8153194427064487,0.6926339285714286,0.5361511995536941,0.7975,40996,0,524.4293186664581
"[483, 68, 266]",<class 'torch.nn.modules.activation.Sigmoid'>,0.0,<class 'torch.optim.adam.Adam'>,0.005204306986482948,256,1337,0.7910386547020504,0.70171875,0.48733174119676864,0.8169642857142857,40996,0,524.4293186664581
"[46, 233, 188, 346, 73]",<class 'torch.nn.modules.activation.Sigmoid'>,0.5,<class 'torch.optim.sgd.SGD'>,0.006653404005543544,256,2024,2.3466390105656214,0.10020089285714286,2.3027817235674175,0.099375,40996,0,524.4293186664581
"[393, 249, 390]",<class 'torch.nn.modules.activation.ReLU'>,0.5,<class 'torch.optim.sgd.SGD'>,0.008732683377277128,64,13,1.6824836904661995,0.4108705357142857,0.8829542217935835,0.6935714285714286,40996,0,524.4293186664581
"[204, 507, 467, 267, 372]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.5,<class 'torch.optim.adam.Adam'>,0.0038931818166213516,512,777,0.9388598135539463,0.6368303571428572,0.5402161335945129,0.7859821428571429,40996,0,524.4293186664581
"[484, 283, 357, 219, 126, 199]",<class 'torch.nn.modules.activation.Sigmoid'>,0.5,<class 'torch.optim.adam.Adam'>,0.0020225630605844543,32,777,1.4428789074931825,0.3675,0.8688947396618979,0.6644642857142857,40996,0,524.4293186664581
"[389, 102, 388, 32, 447, 52]",<class 'torch.nn.modules.activation.ReLU'>,0.1,<class 'torch.optim.sgd.SGD'>,0.003921794699659498,32,42,2.303311445372445,0.10305803571428572,2.30068857056754,0.1250892857142857,40996,0,524.4293186664581
"[190, 461, 283, 436, 337, 330, 252]",<class 'torch.nn.modules.activation.ReLU'>,0.2,<class 'torch.optim.adam.Adam'>,0.006039377173618889,256,13,1.0123860791751316,0.5745982142857143,0.6894459755080087,0.7077678571428572,40996,0,524.4293186664581
"[212, 172, 489]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.5,<class 'torch.optim.sgd.SGD'>,0.004156046859640484,256,13,2.281353626251221,0.12323660714285714,2.242201177052089,0.18419642857142857,40996,0,524.4293186664581
"[124, 390, 469, 247, 235, 412]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.1,<class 'torch.optim.sgd.SGD'>,0.0024586222738217454,64,1337,2.3024262612206594,0.10078125,2.3014630808149064,0.099375,40996,0,524.4293186664581
"[116, 106, 232, 369, 261]",<class 'torch.nn.modules.activation.ReLU'>,0.5,<class 'torch.optim.adam.Adam'>,0.0056126221625935465,512,13,1.0521135446003504,0.5966517857142857,0.6330197719165257,0.7626785714285714,40996,0,524.4293186664581
